,0
AD,0.03292849348883209
ADOSC,0.011961957973995574
ADX,0.004577169860432662
ADXR,0.009427129076983398
ALPHA_252,0.01095618848959834
ALPHA_63,0.015485841844236958
APO,0.007052461157598611
AROONOSC,0.004772723779815635
ATR,0.13678199053300322
BB_LOW,0.029632580965680333
BB_SQUEEZE,0.09438047372558245
BB_UP,0.05709912402830675
BOP,0.00900283539984148
CCI,0.00820850732801226
CMA_252,0.014093212887557272
CMA_63,0.011111178724510395
CMO,0.013581406233565296
HML_252,0.007890479152547591
HML_63,0.004369724862557156
MACD,0.010665670526957438
MACD_HIST,0.0008516526843038719
MACD_SIGNAL,0.013028533950940613
MARKET_252,0.0200318125622152
MARKET_63,0.016230726388794636
MFI,0.007855305425940706
MINUS_DI,0.014906438648083054
NATR,0.14788820880852693
OBV,0.009310345378744422
PLUS_DI,0.0032000135890113413
PPO,0.047085730964466777
RMW_252,0.017002860338867443
RMW_63,0.01602057355096509
RSI,0.013072026004504522
SMB_252,0.013606926748321868
SMB_63,0.01731658284354687
STOCH,0.0007822942302064817
STOCHRSI,0.0007420931536392672
ULTOSC,0.008511184051846143
WILLR,0.007669364840948489
close,0.03172419312702113
month,0.0011639481628065163
ret_01,0.04464189145065944
ret_03,0.04191496454352972
ret_05,0.03641688065041837
ret_10,0.03513811058316918
ret_126,0.05169945995156766
ret_21,0.04282488761643499
ret_252,0.05212555261591589
ret_42,0.043456752207278626
ret_63,0.04975402359742631
weekday,0.004606266621941302
